wsid,name,country,province,icao,latitude,longitude,elevation,begin_date,end_date
007018-99999,WXPOD 7018,,,,+00.000,+000.000,+7018.0,2011-03-09,2013-07-30
007026-99999,WXPOD 7026,AF,,,+00.000,+000.000,+7026.0,2012-07-13,2017-08-22
007070-99999,WXPOD 7070,AF,,,+00.000,+000.000,+7070.0,2014-09-23,2015-09-26
008260-99999,WXPOD8270,,,,+00.000,+000.000,+0000.0,2005-01-01,2012-07-31
008268-99999,WXPOD8278,AF,,,+32.950,+065.567,+1156.7,2010-05-19,2012-03-23
008307-99999,WXPOD 8318,AF,,,+00.000,+000.000,+8318.0,2010-04-21,2010-04-21
008411-99999,XM20,,,,,,,2016-02-17,2016-02-17
008414-99999,XM18,,,,,,,2016-02-16,2016-02-17
008415-99999,XM21,,,,,,,2016-02-17,2020-03-14
008418-99999,XM24,,,,,,,2016-02-17,2016-02-17
010000-99999,BOGUS NORWAY,NO,,ENRS,,,,2001-09-27,2004-10-19
010010-99999,JAN MAYEN(NOR-NAVY),NO,,ENJA,+70.933,-008.667,+0009.0,1931-01-01,2025-06-04
010013-99999,ROST,NO,,,,,,1986-11-20,1988-01-05
010014-99999,SORSTOKKEN / STORD,NO,,ENSO,+59.792,+005.341,+0048.8,1986-11-20,2025-06-04
010015-99999,BRINGELAND,NO,,,+61.383,+005.867,+0327.0,1987-01-17,1997-12-31
010016-99999,RORVIK/RYUM,NO,,,+64.850,+011.233,+0014.0,1987-01-16,1991-08-06
010017-99999,FRIGG,NO,,ENFR,+59.980,+002.250,+0048.0,1988-03-20,1997-12-26
010020-99999,VERLEGENHUKEN,NO,,,+80.050,+016.250,+0008.0,1986-11-09,2025-06-04
010030-99999,HORNSUND,NO,,,+77.000,+015.500,+0012.0,1985-06-01,2025-05-22
010040-99999,NY-ALESUND II,NO,,ENAS,+78.917,+011.933,+0008.0,1973-01-01,1997-08-01
010050-99999,ISFJORD RADIO,SV,,,+78.067,+013.633,+0009.0,1931-01-03,2004-10-30
010060-99999,EDGEOYA,NO,,,+78.250,+022.817,+0014.0,1973-01-01,2025-06-04
010070-99999,NY-ALESUND,SV,,,+78.917,+011.933,+0007.7,1973-01-06,2025-06-04
010071-99999,LONGYEARBYEN,SV,,,+78.217,+015.583,+0037.0,2005-02-10,2005-02-10
010080-99999,LONGYEAR,SV,,ENSB,+78.246,+015.466,+0026.8,1975-09-29,2025-06-04
010090-99999,KARL XII OYA,SV,,,+80.650,+025.000,+0005.0,1955-01-01,2025-06-04
